Segment	Protein Name	Sequence Accession	Complete Genome	Segment Length	Subtype	Collection Date	Host Species	Country	State/Province	Flu Season	Strain Name	Curation Report	
7	-N/A-,-N/A-	MH583091	Yes	1155	-N/A-	02/13/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/06/2018	Pass	
7	-N/A-,-N/A-	MH245243	Yes	1155	-N/A-	02/20/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/07/2018	Pass	
2	PB2	MH245249	Yes	2367	-N/A-	02/20/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/07/2018	Pass	
1	PB1	MH245248	Yes	2340	-N/A-	02/20/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/07/2018	Pass	
4	HA	MH245246	Yes	1853	-N/A-	02/20/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/07/2018	Pass	
8	-N/A-,-N/A-	MH245242	Yes	1063	-N/A-	02/20/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/07/2018	Pass	
6	-N/A-,-N/A-	MH245244	Yes	1530	-N/A-	02/20/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/07/2018	Pass	
5	NP	MH245245	Yes	1816	-N/A-	02/20/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/07/2018	Pass	
3	PA	MH245247	Yes	2275	-N/A-	02/20/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/07/2018	Pass	
8	-N/A-,-N/A-	MH362867	Yes	1062	-N/A-	02/23/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/08/2018	Flag-CDS	
6	-N/A-,-N/A-	MH362865	Yes	1530	-N/A-	02/23/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/08/2018	Pass	
4	HA	MH362863	Yes	1853	-N/A-	02/23/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/08/2018	Pass	
7	-N/A-,-N/A-	MH362866	Yes	1156	-N/A-	02/23/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/08/2018	Flag-NCR	
5	NP	MH362864	Yes	1816	-N/A-	02/23/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/08/2018	Pass	
1	PB1	MH362861	Yes	2340	-N/A-	02/23/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/08/2018	Pass	
3	PA	MH362862	Yes	2275	-N/A-	02/23/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/08/2018	Pass	
2	PB2	MH362860	Yes	2367	-N/A-	02/23/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/08/2018	Pass	
7	-N/A-,-N/A-	MH245251	Yes	1154	-N/A-	02/26/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/09/2018	Pass	
8	-N/A-,-N/A-	MH245250	Yes	1066	-N/A-	02/26/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/09/2018	Pass	
4	HA	MH245254	Yes	1850	-N/A-	02/26/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/09/2018	Pass	
6	-N/A-,-N/A-	MH245252	Yes	1528	-N/A-	02/26/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/09/2018	Pass	
1	PB1	MH245256	Yes	2340	-N/A-	02/26/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/09/2018	Pass	
2	PB2	MH245257	Yes	2367	-N/A-	02/26/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/09/2018	Pass	
3	PA	MH245255	Yes	2276	-N/A-	02/26/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/09/2018	Pass	
5	NP	MH245253	Yes	1815	-N/A-	02/26/2018	IRD:Human	USA	Alabama	17-18	B/Alabama/09/2018	Pass	
7	-N/A-,M1	CY263536	Yes	1155	-N/A-	11/28/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/13/2017	Pass	
5	NP	CY263534	Yes	1816	-N/A-	11/28/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/13/2017	Pass	
3	PA	CY263532	Yes	2275	-N/A-	11/28/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/13/2017	Pass	
6	NA,NB	CY263535	Yes	1529	-N/A-	11/28/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/13/2017	Pass	
2	PB2	CY263531	Yes	2367	-N/A-	11/28/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/13/2017	Pass	
8	NS1,NS2	CY263537	Yes	1063	-N/A-	11/28/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/13/2017	Pass	
1	PB1	CY263530	Yes	2340	-N/A-	11/28/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/13/2017	Pass	
4	HA	CY263533	Yes	1853	-N/A-	11/28/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/13/2017	Pass	
7	-N/A-,M1	CY263528	Yes	1155	-N/A-	11/30/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/14/2017	Pass	
3	PA	MH080647	Yes	2275	-N/A-	11/30/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/14/2017	Pass	
7	-N/A-,-N/A-	MH080648	Yes	1155	-N/A-	11/30/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/14/2017	Pass	
4	HA	CY263525	Yes	1853	-N/A-	11/30/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/14/2017	Pass	
8	-N/A-,-N/A-	MH080650	Yes	1062	-N/A-	11/30/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/14/2017	Pass	
4	HA	MH080652	Yes	1853	-N/A-	11/30/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/14/2017	Pass	
5	NP	MH080653	Yes	1816	-N/A-	11/30/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/14/2017	Pass	
2	PB2	MH080649	Yes	2367	-N/A-	11/30/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/14/2017	Pass	
1	PB1	MH080651	Yes	2340	-N/A-	11/30/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/14/2017	Pass	
2	PB2	CY263523	Yes	2367	-N/A-	11/30/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/14/2017	Pass	
1	PB1	CY263522	Yes	2340	-N/A-	11/30/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/14/2017	Pass	
3	PA	CY263524	Yes	2275	-N/A-	11/30/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/14/2017	Pass	
8	NS1,NS2	CY263529	Yes	1062	-N/A-	11/30/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/14/2017	Pass	
6	-N/A-,-N/A-	MH080646	Yes	1529	-N/A-	11/30/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/14/2017	Pass	
6	NA,NB	CY263527	Yes	1529	-N/A-	11/30/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/14/2017	Pass	
5	NP	CY263526	Yes	1816	-N/A-	11/30/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/14/2017	Pass	
6	NA,NB	CY263543	Yes	1529	-N/A-	12/05/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/15/2017	Pass	
3	PA	CY263540	Yes	2275	-N/A-	12/05/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/15/2017	Pass	
1	PB1	CY263538	Yes	2340	-N/A-	12/05/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/15/2017	Pass	
4	HA	MH080660	Yes	1853	-N/A-	12/05/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/15/2017	Pass	
8	-N/A-,-N/A-	MH080658	Yes	1062	-N/A-	12/05/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/15/2017	Pass	
7	-N/A-,-N/A-	MH080656	Yes	1155	-N/A-	12/05/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/15/2017	Pass	
6	-N/A-,-N/A-	MH080654	Yes	1529	-N/A-	12/05/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/15/2017	Pass	
5	NP	MH080661	Yes	1816	-N/A-	12/05/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/15/2017	Pass	
8	NS1,NS2	CY263545	Yes	1062	-N/A-	12/05/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/15/2017	Pass	
7	-N/A-,M1	CY263544	Yes	1155	-N/A-	12/05/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/15/2017	Pass	
4	HA	CY263541	Yes	1853	-N/A-	12/05/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/15/2017	Pass	
2	PB2	CY263539	Yes	2367	-N/A-	12/05/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/15/2017	Pass	
1	PB1	MH080659	Yes	2340	-N/A-	12/05/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/15/2017	Pass	
2	PB2	MH080657	Yes	2367	-N/A-	12/05/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/15/2017	Pass	
3	PA	MH080655	Yes	2275	-N/A-	12/05/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/15/2017	Pass	
5	NP	CY263542	Yes	1816	-N/A-	12/05/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/15/2017	Pass	
5	NP	CY263550	Yes	1816	-N/A-	12/06/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/16/2017	Pass	
2	PB2	CY263547	Yes	2367	-N/A-	12/06/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/16/2017	Pass	
4	HA	CY263549	Yes	1853	-N/A-	12/06/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/16/2017	Pass	
6	NA,NB	CY263551	Yes	1529	-N/A-	12/06/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/16/2017	Pass	
8	NS1,NS2	CY263553	Yes	1062	-N/A-	12/06/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/16/2017	Pass	
3	PA	MH080663	Yes	2275	-N/A-	12/06/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/16/2017	Pass	
2	PB2	MH080665	Yes	2367	-N/A-	12/06/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/16/2017	Pass	
8	-N/A-,-N/A-	MH080666	Yes	1062	-N/A-	12/06/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/16/2017	Pass	
4	HA	MH080668	Yes	1853	-N/A-	12/06/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/16/2017	Pass	
6	-N/A-,-N/A-	MH080662	Yes	1529	-N/A-	12/06/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/16/2017	Pass	
7	-N/A-,-N/A-	MH080664	Yes	1155	-N/A-	12/06/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/16/2017	Pass	
1	PB1	MH080667	Yes	2340	-N/A-	12/06/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/16/2017	Pass	
5	NP	MH080669	Yes	1816	-N/A-	12/06/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/16/2017	Pass	
1	PB1	CY263546	Yes	2340	-N/A-	12/06/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/16/2017	Pass	
3	PA	CY263548	Yes	2275	-N/A-	12/06/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/16/2017	Pass	
7	-N/A-,M1	CY263552	Yes	1155	-N/A-	12/06/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/16/2017	Pass	
7	-N/A-,-N/A-	MH080676	Yes	1155	-N/A-	11/28/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/17/2017	Pass	
1	PB1	MH080671	Yes	2340	-N/A-	11/28/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/17/2017	Pass	
5	NP	MH080674	Yes	1816	-N/A-	11/28/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/17/2017	Pass	
8	-N/A-,-N/A-	MH080677	Yes	1063	-N/A-	11/28/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/17/2017	Pass	
6	-N/A-,-N/A-	MH080675	Yes	1529	-N/A-	11/28/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/17/2017	Pass	
4	HA	MH080673	Yes	1853	-N/A-	11/28/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/17/2017	Pass	
3	PA	MH080672	Yes	2275	-N/A-	11/28/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/17/2017	Pass	
2	PB2	MH080670	Yes	2367	-N/A-	11/28/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/17/2017	Pass	
8	-N/A-,-N/A-	MH080685	Yes	1062	-N/A-	11/30/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/18/2017	Pass	
6	-N/A-,-N/A-	MH080683	Yes	1529	-N/A-	11/30/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/18/2017	Pass	
3	PA	MH080680	Yes	2275	-N/A-	11/30/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/18/2017	Pass	
7	-N/A-,-N/A-	MH080684	Yes	1155	-N/A-	11/30/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/18/2017	Pass	
4	HA	MH080681	Yes	1853	-N/A-	11/30/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/18/2017	Pass	
1	PB1	MH080679	Yes	2340	-N/A-	11/30/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/18/2017	Pass	
2	PB2	MH080678	Yes	2367	-N/A-	11/30/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/18/2017	Pass	
5	NP	MH080682	Yes	1816	-N/A-	11/30/2017	IRD:Human	USA	Alabama	17-18	B/Alabama/18/2017	Pass	
2	PB2	MH135906	Yes	2367	-N/A-	01/12/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/01/2018	Pass	
3	PA	MH135908	Yes	2275	-N/A-	01/12/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/01/2018	Pass	
4	HA	MH135909	Yes	1853	-N/A-	01/12/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/01/2018	Pass	
1	PB1	MH135907	Yes	2340	-N/A-	01/12/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/01/2018	Pass	
7	-N/A-,-N/A-	MH135912	Yes	1155	-N/A-	01/12/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/01/2018	Pass	
5	NP	MH135910	Yes	1816	-N/A-	01/12/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/01/2018	Pass	
8	-N/A-,-N/A-	MH135913	Yes	1062	-N/A-	01/12/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/01/2018	Pass	
6	-N/A-,-N/A-	MH135911	Yes	1530	-N/A-	01/12/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/01/2018	Pass	
6	-N/A-,-N/A-	MH135919	Yes	1530	-N/A-	01/16/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/02/2018	Pass	
4	HA	MH135917	Yes	1853	-N/A-	01/16/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/02/2018	Pass	
7	-N/A-,-N/A-	MH135920	Yes	1155	-N/A-	01/16/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/02/2018	Pass	
5	NP	MH135918	Yes	1816	-N/A-	01/16/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/02/2018	Pass	
1	PB1	MH135915	Yes	2340	-N/A-	01/16/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/02/2018	Pass	
3	PA	MH135916	Yes	2275	-N/A-	01/16/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/02/2018	Pass	
2	PB2	MH135914	Yes	2367	-N/A-	01/16/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/02/2018	Pass	
8	-N/A-,-N/A-	MH135921	Yes	1061	-N/A-	01/16/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/02/2018	Pass	
2	PB2	MH583093	Yes	2367	-N/A-	01/31/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/03/2018	Pass	
3	PA	MH583095	Yes	2276	-N/A-	01/31/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/03/2018	Pass	
6	-N/A-,-N/A-	MH583098	Yes	1528	-N/A-	01/31/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/03/2018	Pass	
8	-N/A-,-N/A-	MH583100	Yes	1066	-N/A-	01/31/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/03/2018	Pass	
4	HA	MH583096	Yes	1850	-N/A-	01/31/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/03/2018	Pass	
5	NP	MH583097	Yes	1815	-N/A-	01/31/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/03/2018	Flag-NCR	
7	-N/A-,-N/A-	MH583099	Yes	1154	-N/A-	01/31/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/03/2018	Pass	
1	PB1	MH583094	Yes	2340	-N/A-	01/31/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/03/2018	Pass	
1	PB1	MH583102	Yes	2340	-N/A-	02/05/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/04/2018	Pass	
5	NP	MH583105	Yes	1816	-N/A-	02/05/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/04/2018	Pass	
8	-N/A-,-N/A-	MH583108	Yes	1062	-N/A-	02/05/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/04/2018	Pass	
6	-N/A-,-N/A-	MH583106	Yes	1529	-N/A-	02/05/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/04/2018	Pass	
4	HA	MH583104	Yes	1853	-N/A-	02/05/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/04/2018	Pass	
3	PA	MH583103	Yes	2275	-N/A-	02/05/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/04/2018	Pass	
2	PB2	MH583101	Yes	2367	-N/A-	02/05/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/04/2018	Pass	
7	-N/A-,-N/A-	MH583107	Yes	1155	-N/A-	02/05/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/04/2018	Pass	
5	NP	MH583113	Yes	1816	-N/A-	02/07/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/05/2018	Pass	
7	-N/A-,-N/A-	MH583115	Yes	1155	-N/A-	02/07/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/05/2018	Pass	
8	-N/A-,-N/A-	MH583116	Yes	1062	-N/A-	02/07/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/05/2018	Pass	
6	-N/A-,-N/A-	MH583114	Yes	1529	-N/A-	02/07/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/05/2018	Pass	
4	HA	MH583112	Yes	1853	-N/A-	02/07/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/05/2018	Pass	
1	PB1	MH583110	Yes	2340	-N/A-	02/07/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/05/2018	Pass	
2	PB2	MH583109	Yes	2367	-N/A-	02/07/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/05/2018	Pass	
3	PA	MH583111	Yes	2275	-N/A-	02/07/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/05/2018	Pass	
1	PB1	MH245264	Yes	2340	-N/A-	02/14/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/06/2018	Pass	
5	NP	MH245261	Yes	1816	-N/A-	02/14/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/06/2018	Pass	
3	PA	MH245263	Yes	2275	-N/A-	02/14/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/06/2018	Pass	
2	PB2	MH245265	Yes	2367	-N/A-	02/14/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/06/2018	Pass	
8	-N/A-,-N/A-	MH245258	Yes	1062	-N/A-	02/14/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/06/2018	Pass	
7	-N/A-,-N/A-	MH245259	Yes	1155	-N/A-	02/14/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/06/2018	Pass	
4	HA	MH245262	Yes	1853	-N/A-	02/14/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/06/2018	Pass	
6	-N/A-,-N/A-	MH245260	Yes	1529	-N/A-	02/14/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/06/2018	Pass	
1	PB1	MH245272	Yes	2340	-N/A-	02/14/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/07/2018	Pass	
4	HA	MH245270	Yes	1850	-N/A-	02/14/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/07/2018	Pass	
6	-N/A-,-N/A-	MH245268	Yes	1528	-N/A-	02/14/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/07/2018	Pass	
2	PB2	MH245273	Yes	2367	-N/A-	02/14/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/07/2018	Pass	
3	PA	MH245271	Yes	2276	-N/A-	02/14/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/07/2018	Pass	
5	NP	MH245269	Yes	1815	-N/A-	02/14/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/07/2018	Flag-NCR	
7	-N/A-,-N/A-	MH245267	Yes	1154	-N/A-	02/14/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/07/2018	Pass	
8	-N/A-,-N/A-	MH245266	Yes	1066	-N/A-	02/14/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/07/2018	Pass	
8	-N/A-,-N/A-	MH585106	Yes	1062	-N/A-	03/02/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/08/2018	Pass	
6	-N/A-,-N/A-	MH585104	Yes	1530	-N/A-	03/02/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/08/2018	Pass	
2	PB2	MH585099	Yes	2367	-N/A-	03/02/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/08/2018	Pass	
3	PA	MH585101	Yes	2276	-N/A-	03/02/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/08/2018	Pass	
5	NP	MH585103	Yes	1816	-N/A-	03/02/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/08/2018	Pass	
7	-N/A-,-N/A-	MH585105	Yes	1155	-N/A-	03/02/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/08/2018	Pass	
1	PB1	MH585100	Yes	2340	-N/A-	03/02/2018	IRD:Human	USA	Alaska	17-18	B/Alaska/08/2018	Pass	
